team,top group,L32,L16,QF,SF,Final,champ
Spain,75.12%,98.44%,72.02%,51.32%,38.54%,25.20%,16.04%
France,60.71%,95.26%,70.51%,47.86%,33.32%,21.31%,13.18%
England,67.46%,96.38%,68.91%,47.88%,30.31%,18.69%,10.87%
Argentina,72.57%,96.86%,63.84%,46.25%,31.14%,18.44%,10.41%
Portugal,59.44%,94.58%,62.36%,40.35%,24.05%,13.26%,7.18%
Brazil,60.66%,96.72%,61.46%,37.84%,22.18%,12.32%,6.50%
Germany,60.24%,96.24%,61.82%,33.76%,20.43%,10.96%,5.78%
Netherlands,47.84%,88.44%,49.03%,30.03%,15.77%,8.13%,3.92%
Norway,25.20%,82.05%,49.27%,27.59%,14.91%,7.22%,3.38%
Belgium,52.01%,89.46%,53.88%,28.07%,12.13%,5.25%,2.17%
Colombia,29.14%,84.71%,44.40%,22.18%,11.30%,5.08%,2.02%
Morocco,27.86%,88.79%,44.67%,22.70%,10.28%,4.40%,1.83%
Switzerland,42.30%,85.37%,49.29%,23.34%,9.66%,4.09%,1.69%
Uruguay,18.96%,83.67%,38.74%,20.28%,10.13%,4.11%,1.53%
Ecuador,28.04%,87.34%,43.00%,18.66%,8.91%,3.80%,1.41%
Japan,26.54%,76.40%,33.82%,17.26%,7.72%,3.35%,1.38%
Croatia,20.26%,77.36%,38.88%,18.30%,8.60%,3.72%,1.36%
United States,32.54%,77.05%,41.76%,19.46%,8.08%,3.37%,1.22%
Türkiye,29.36%,73.90%,38.76%,17.59%,7.00%,2.88%,0.97%
Mexico,48.51%,87.93%,51.96%,24.14%,8.24%,2.80%,0.93%
Senegal,10.81%,61.27%,29.47%,13.61%,5.90%,2.40%,0.73%
Austria,13.31%,67.69%,25.04%,10.84%,4.55%,1.69%,0.55%
Paraguay,20.58%,63.33%,29.80%,12.01%,4.52%,1.59%,0.52%
Sweden,16.90%,63.66%,23.66%,10.21%,3.98%,1.41%,0.51%
Korea Rep,22.76%,70.30%,33.47%,12.64%,4.13%,1.48%,0.44%
Canada,31.76%,79.48%,43.18%,18.50%,5.42%,1.55%,0.42%
Australia,17.52%,58.90%,26.33%,9.74%,3.37%,1.11%,0.35%
Egypt,20.11%,68.10%,30.66%,11.05%,3.71%,1.23%,0.34%
Bosnia,17.13%,63.20%,28.30%,10.67%,3.05%,0.95%,0.27%
Iran,17.60%,64.91%,27.66%,9.58%,3.24%,0.97%,0.25%
Algeria,9.00%,56.64%,18.78%,7.40%,2.58%,0.83%,0.24%
Czechia,17.74%,63.98%,28.51%,9.83%,2.73%,0.85%,0.22%
Côte d'Ivoire,10.17%,64.19%,24.04%,7.79%,2.46%,0.82%,0.22%
Ghana,7.18%,49.58%,18.28%,6.56%,2.36%,0.74%,0.17%
Scotland,10.36%,66.03%,24.14%,8.59%,2.70%,0.78%,0.16%
Panama,5.11%,40.00%,13.01%,4.24%,1.21%,0.38%,0.14%
South Africa,10.99%,48.56%,18.96%,5.72%,1.25%,0.31%,0.10%
Tunisia,8.72%,42.42%,12.18%,4.16%,1.40%,0.37%,0.10%
Qatar,8.81%,43.30%,15.75%,5.14%,1.23%,0.27%,0.08%
Iraq,3.28%,27.50%,8.97%,3.17%,0.98%,0.29%,0.08%
Jordan,5.12%,40.54%,11.36%,3.59%,1.12%,0.24%,0.08%
Congo DR,6.09%,42.72%,12.97%,4.25%,1.28%,0.36%,0.08%
Uzbekistan,5.32%,41.00%,12.35%,3.82%,1.18%,0.34%,0.07%
Saudi Arabia,3.24%,39.98%,12.00%,3.65%,1.03%,0.26%,0.06%
New Zealand,10.28%,47.62%,17.03%,4.69%,1.11%,0.26%,0.04%
Cabo Verde,2.68%,33.62%,9.14%,2.59%,0.64%,0.11%,0.01%
Haiti,1.12%,15.82%,2.87%,0.51%,0.06%,0.02%,0.00%
Curaçao,1.56%,18.73%,3.66%,0.57%,0.12%,0.01%,0.00%
